# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.045e-05 to 208.72 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       6.593531749873e-03      -2.284604060745e+00      -5.294088382986e+00      -5.357725369041e+00      -2.213522643356e+00      -5.258771773240e+00       5.278587238152e-01       5.293732907346e-01      -1.351166380119e-03       5.452002485498e-03       5.471017075433e-03      -9.628088681721e-04       5.214622351123e-03 
       8.300764673387e-03      -1.801669819726e+00      -7.395847810585e+00      -7.551601082379e+00      -1.894277602442e+00      -7.363603643186e+00       5.014944356167e-01       5.029164373979e-01      -6.018701664267e-04       8.251833155313e-03       8.297120830602e-03      -1.998791468523e-04       7.957944493713e-03 
       1.045004358465e-02      -1.816476550290e+00      -1.038730821565e+01      -1.076346699049e+01      -1.947958869632e+00      -1.045066515124e+01       4.721292728521e-01       4.721152206245e-01       1.265181348733e-03       1.228536751303e-02       1.239148617568e-02       5.866795646027e-04       1.194163504806e-02 
       1.315582542307e-02      -2.003450994082e+00      -1.447285270360e+01      -1.536392094186e+01      -1.817709709089e+00      -1.484283347545e+01       4.376311815355e-01       4.374027683325e-01      -4.951268277457e-04       1.794945197125e-02       1.819336314085e-02      -8.061786164665e-04       1.744115506951e-02 
       1.656220293821e-02      -1.407538546086e+00      -1.970872265675e+01      -2.175881262457e+01      -1.546064985957e+00      -2.086597007062e+01       3.966224165430e-01       3.967856417641e-01      -5.226177920216e-04       2.562361437353e-02       2.616823736799e-02       6.463270439398e-04       2.508942984599e-02 
       2.085057798751e-02      -1.567588277818e+00      -2.578009885401e+01      -3.029016164287e+01      -1.397513218996e+00      -2.878282009239e+01       3.500336204496e-01       3.499756743947e-01       6.541342885643e-05       3.547247322777e-02       3.663308085109e-02      -8.810172988659e-04       3.505430355978e-02 
       2.624919587758e-02      -1.147651756644e+00      -3.184662496084e+01      -4.109245292333e+01      -1.259721618487e+00      -3.855349484126e+01       2.984581149534e-01       2.984633570747e-01       1.348553781623e-03       4.730325965482e-02       4.959472441769e-02      -3.078567182950e-04       4.739174387943e-02 
       3.302839934050e-02      -1.072331467417e+00      -3.708163229659e+01      -5.399598451408e+01      -1.032280402986e+00      -4.992904145709e+01       2.455109665673e-01       2.455330472106e-01       1.378977301648e-03       6.072905827028e-02       6.470914885946e-02      -1.398589033584e-04       6.168265756740e-02 
       4.101903307778e-02      -7.219820759342e-01      -4.278660743334e+01      -6.815574710446e+01      -8.205903370639e-01      -6.240201136415e+01       1.996179188269e-01       1.996235814609e-01      -7.723522293934e-04       7.570281895337e-02       8.121101351458e-02      -6.495808152121e-04       7.727281234664e-02 
       4.775953346591e-02      -7.511223898917e-01      -5.058596030968e+01      -7.984322886336e+01      -7.233614612852e-01      -7.316785965852e+01       1.729367042675e-01       1.729378756776e-01       4.061116006358e-04       8.950515641709e-02       9.526209851760e-02      -3.835517137541e-04       9.078324078649e-02 
